nume_actiune, timestamp
createUser, 2022-05-01 21:03:26
streamsUsername, 2022-05-01 21:03:34
createProduct, 2022-05-01 21:05:26
exit, 2022-05-01 21:05:29
exit, 2022-05-16 12:46:10
createAddress, 2022-05-27 20:18:56
createRestaurant, 2022-05-27 20:32:04
exit, 2022-05-27 20:32:18
createProduct, 2022-05-27 20:33:53
createProduct, 2022-05-27 20:34:00
createProduct, 2022-05-27 20:35:09
exit, 2022-05-27 20:35:17
createProduct, 2022-05-27 20:36:07
createTransport, 2022-05-28 12:35:03
exit, 2022-05-28 12:37:16
createRestaurant, 2022-05-28 12:52:09
createProduct, 2022-05-28 13:50:50
exit, 2022-05-29 11:11:26
createUser, 2022-05-29 11:12:57
placeOrder, 2022-05-29 11:13:39
setValueForOrder, 2022-05-29 11:14:25
getFromDB, 2022-05-29 11:15:06
getFromDB, 2022-05-29 18:37:03
createTransport, 2022-05-29 18:37:30
deleteCarFromDB, 2022-05-29 18:37:42
createRestaurant, 2022-05-29 18:38:15
deleteRestaurantFromDB, 2022-05-29 18:38:31
createProduct, 2022-05-29 18:39:08
deleteProductFromDB, 2022-05-29 18:39:31
createUser, 2022-05-29 18:40:02
placeOrder, 2022-05-29 18:40:34
getFromDB, 2022-05-29 18:40:37
deleteOrderFromDB, 2022-05-29 18:40:44
